#separator:tab
#html:true
#columns:Front	Back	Tags
Someone else is coming.	Ar ri veni.<br>別 ⊢ 来.<br>other RI come.	pikotika level5 sentence
I changed my mind.	Eko ri arvake a eko pensa.<br>己 ⊢ 別作 ⇒ 己 思.<br>I RI other-make A I think.	pikotika level5 sentence
art; craft	arti<br>芸<br>an <i>arti</i>st makes <i>art</i>	pikotika level5 root
temple; church	temper<br>寺<br>a <i>temp</i>le <i>temper</i>s the soul	pikotika level5 root
oil; grease	oren<br>油<br>digging for <i>ore 'n'</i> oil	pikotika level5 root
salt; salty	sares<br>塩<br><i>sa</i>lty <i>res</i>idue left after seawater evaporates	pikotika level5 root
museum	artikase<br>芸户<br>art-home	pikotika level5 compound
fried	orenvake<br>油作<br>oil-make	pikotika level5 compound
fried rice	orenankariso<br>油白米<br>oil-white-grain	pikotika level5 compound
And I'll have the fish, please.	Kum eko ri vori a akupeste, pam.<br>并 己 ⊢ 求 ⇒ 水匹, 乞.<br>and I RI want A water-animal, please.	pikotika level5 sentence
The station is near, isn't it?	Karoroko ri nir, non?<br>车所 ⊢ 近, 不?<br>vehicle-place RI near, not?	pikotika level5 sentence
Please don't change it.	Pam non arvake a tis.<br>乞 不 別作 ⇒ 此.<br>please not other-make A this.	pikotika level5 sentence
bird	avis<br>鳥<br><i>avi</i>ary, <i>avi</i>ation — birds	pikotika level5 root
bug; worm	inses<br>虫<br><i>inse</i>ct	pikotika level5 root
dog; canine	kanis<br>犬<br><i>canis</i>, <i>canin</i>e, dog	pikotika level5 root
flock	avismen<br>鳥众<br>bird-group	pikotika level5 compound
egg	avisnino<br>鳥子<br>bird-offspring	pikotika level5 compound
poultry; chicken (meat)	aviskarne<br>鳥肉<br>bird-meat	pikotika level5 compound
pet dog	kasekanis<br>户犬<br>home-dog	pikotika level5 compound
Yesterday I saw the dog.	Yanyer, eko ri vite a kanis.<br>日前, 己 ⊢ 見 ⇒ 犬.<br>day-before, I RI see A dog.	pikotika level5 sentence
The flock is flying over the sea.	Avismen ri ventoire sur mekaaku.<br>鳥众 ⊢ 风行 上 大水.<br>bird-group RI air-go up big-water.	pikotika level5 sentence
You see the dog, don't you?	Tu ri vite a kanis, non?<br>尔 ⊢ 見 ⇒ 犬, 不?<br>you RI see A dog, not?	pikotika level5 sentence
country; state	nasyon<br>国<br><i>nasyon</i> = <i>nation</i>	pikotika level5 root
friend; companion	ami<br>朋<br><i>ami</i>go, my friend	pikotika level5 root
law; allow	reke<br>法<br>the law says no <i>wrecki</i>ng stuff	pikotika level5 root
marry; spouse	maris<br>婚<br><i>Maurice</i> is <i>marri</i>ed	pikotika level5 root
easy	nonsorin<br>不硬<br>not-hard	pikotika level5 compound
comic book; comics; manga	piturmurkarta<br>画多片<br>picture-many-page	pikotika level5 compound
abroad; foreign; overseas	eksenasyon<br>外国<br>out-country	pikotika level5 compound
enemy	nonami<br>不朋<br>not-friend	pikotika level5 compound
illegal	nonreke<br>不法<br>not-law	pikotika level5 compound
spouse	marisomo<br>婚人<br>marry-person	pikotika level5 compound
Our wedding anniversary is next month.	Ekomen maris anyoyan ri in tar mese.<br>己众 婚 年日 ⊢ 内 后 月.<br>I-group marry year-day RI in after month.	pikotika level5 sentence
Is this allowed?	Ri reke a tis, ker?<br>⊢ 法 ⇒ 此, 何?<br>RI law A this, what?	pikotika level5 sentence
It's not allowed.	Ri non reke.<br>⊢ 不 法.<br>RI not law.	pikotika level5 sentence
key; lock	yave<br>錠<br><i>shove</i> the key into the lock	pikotika level5 root
table; desk	tapur<br>机<br><i>tap your</i> fingers on the table	pikotika level5 root
toilet; restroom	toreta<br>便<br>Italian <i>toletta</i>, French <i>toilette</i>	pikotika level5 root
relative clause marker	rite<br>⊢><br>RI-TE	pikotika level5 compound
return; come back	retseveni<br>反来<br>back-come	pikotika level5 compound
until; till; up to (in time)	retover<br>直向<br>straight-to	pikotika level5 compound
password	yavetika<br>錠言<br>key-word	pikotika level5 compound
Where is the bathroom?	Toreta ri kerroko?<br>便 ⊢ 何所?<br>toilet RI what-place?	pikotika level5 sentence
The key you gave me is on the table.	Tu ri tonar ver eko rite yave ri sur tapur.<br>尔 ⊢ 与 向 己 ⊢> 錠 ⊢ 上 机.<br>you RI give to me RI-TE key RI on table.	pikotika level5 sentence
Here is your key.	Tis ri tu yave.<br>此 ⊢ 尔 錠.<br>this RI you key.	pikotika level5 sentence
old; former	vetus<br>古<br>the <i>vete</i>ran is old	pikotika level5 root
clean; pure	puru<br>清<br><i>pure</i> and clean	pikotika level5 root
break; cut	rompe<br>切<br><i>romp</i>ing kids break things	pikotika level5 root
lose; misplace	perti<br>失<br>you <i>part</i>ed with it, now it's lost	pikotika level5 root
forget	sapeperti<br>知失<br>know-lose	pikotika level5 compound
knife (knife or scissors)	rompeuter<br>切工<br>cut-tool	pikotika level5 compound
Leave now, or you'll miss the train.	Pam eksire in tistempo, sive tu ri perti a metarrinekaro.<br>乞 外行 内 此时, 或 尔 ⊢ 失 ⇒ 金糸车.<br>please out-go in this-time, or you RI lose A metal-line-vehicle.	pikotika level5 sentence
Please clean the room.	Pam puru a kamar.<br>乞 清 ⇒ 室.<br>please clean A room.	pikotika level5 sentence
One thing — the light in the hall is broken.	Wun kosa: vortoyan in irekamar ri rompe vin.<br>1 物: 電日 内 行室 ⊢ 切 閉.<br>one thing: electric-sun in go-room RI break finish.	pikotika level5 sentence
left	sini<br>左<br>have you <i>seen</i> my left hand?	pikotika level5 root
right	rem<br>右<br><i>rem</i>ember: <i>r</i> is for <i>r</i>ight	pikotika level5 root
down; below	tun<br>下<br>a <i>tun</i>nel goes down	pikotika level5 root
far; distant	ron<br>遠<br><i>lon</i>g gone, far away	pikotika level5 root
flat; level	yano<br>平<br>flat as a p<i>iano</i> lid	pikotika level5 root
hole; gap	vuko<br>穴<br>oh <i>fuko</i>, there's hole blocking my way!	pikotika level5 root
north	mapasur<br>図上<br>map-up	pikotika level5 compound
south	mapatun<br>図下<br>map-down	pikotika level5 compound
west	mapasini<br>図左<br>map-left	pikotika level5 compound
east	maparem<br>図右<br>map-right	pikotika level5 compound
window	vitevuko<br>見穴<br>see-hole	pikotika level5 compound
evening; afternoon	tunyan<br>下日<br>down-sun	pikotika level5 compound
elevator; lift	surtunkamar<br>上下室<br>up-down-room	pikotika level5 compound
The party starts at 7 PM.	Yumen ri apa in tunyan 7 ora.<br>玩众 ⊢ 开 内 下日 7 刻.<br>play-group RI begin in down-sun 7 hour.	pikotika level5 sentence
Go straight to that big tree, then turn left.	Pam reto ire ver nontis meka arpo, tar pam kurva ver sini.<br>乞 直 行 向 不此 大 木, 后 乞 弓 向 左.<br>please straight go to not-this big plant, after please bend to left.	pikotika level5 sentence
Turn left at the next corner.	Pam kurva ver sini in tarorten kurvaroko.<br>乞 弓 向 左 内 后序 弓所.<br>please bend to left in after-sequence bend-place.	pikotika level5 sentence
Do you have a reservation?	Tu ri tene a yerakor, ker?<br>尔 ⊢ 有 ⇒ 前約, 何?<br>you RI have A before-agree, what?	pikotika level5 sentence
I don't want to think about the past.	Eko ri non vori pensa a yertempo.<br>己 ⊢ 不 求 思 ⇒ 前时.<br>I RI not want think A before-time.	pikotika level5 sentence
I was told this.	Ri tika a tis ver eko.<br>⊢ 言 ⇒ 此 向 己.<br>RI say A this to me.	pikotika level5 sentence
Things change.	Kosa ri artiven.<br>物 ⊢ 別成.<br>thing RI other-become.	pikotika level5 sentence
What's new?	Ker ri nova?<br>何 ⊢ 初?<br>what RI new?	pikotika level5 sentence
Send me what you have.	Pam tonar a tu ri tene rite kosa ver eko.<br>乞 与 ⇒ 尔 ⊢ 有 ⊢> 物 向 己.<br>please give A you RI have RI-TE thing to me.	pikotika level5 sentence
How much are the bananas?	Ronkayoropomo ri ker moni?<br>长黄果 ⊢ 何 贝?<br>long-yellow-fruit RI what money?	pikotika level5 sentence
Payment is required.	Ri neses tonar a moni.<br>⊢ 要 与 ⇒ 贝.<br>RI must give A money.	pikotika level5 sentence
