EN	gloss	latin	han	root_level	topic
It's the oldest.	this RI more old than all.	Tis ri mas vetus vons pan.	此 ⊢ 更 古 从 全.	5	
I'm better now.	I RI more good in this-time.	Eko ri mas pona in tistempo.	己 ⊢ 更 好 内 此时.	2	health
Do you have a bigger room?	you RI have A more big room, what?	Tu ri tene a mas meka kamar, ker?	尔 ⊢ 有 ⇒ 更 大 室, 何?	3	lodging
It's less important than that one.	this RI not-more heavy-necessary than not-this.	Tis ri nonmas pesaneses vons nontis.	此 ⊢ 不更 重要 从 不此.	4	
It's not more important than that one.	this RI not more heavy-necessary than not-this.	Tis ri non mas pesaneses vons nontis.	此 ⊢ 不 更 重要 从 不此.	4	
It's the least important.	this RI not-more heavy-necessary than all.	Tis ri nonmas pesaneses vons pan.	此 ⊢ 不更 重要 从 全.	4	
From the airport, the train is faster than the bus.	from air-vehicle-place, metal-line-vehicle RI more fast than many-person-vehicle.	Vons ventokaroroko, metarrinekaro ri mas veros vons muromokaro.	从 风车所, 金糸车 ⊢ 更 早 从 多人车.	4	travel
Hello (when meeting someone new)	new-meet.	Novasarve.	初会.	1	pleasantries;meeting
Hello	happy-meet.	Kontensarve.	楽会.	1	pleasantries
Take care (parting).	good go.	Pona ire.	好 行.	1	pleasantries
Have fun (parting).	good play.	Pona yu.	好 玩.	3	pleasantries
Good night.	good no-sun.	Pona nemyan.	好 无日.	2	pleasantries
Get well.	good heal.	Pona sana.	好 医.	4	pleasantries;health
I hope you're better soon.	I RI want A you RI soon more good.	Eko ri vori a tu ri veros mas pona.	己 ⊢ 求 ⇒ 尔 ⊢ 早 更 好.	2	pleasantries;health
Sorry/oops/excuse me.	sorry.	Perton.	悔.	1	pleasantries;feelings
Goodbye.	sorry-out-go.	Pertoneksire.	悔外行.	1	pleasantries
I'm good.	I RI good.	Eko ri pona.	己 ⊢ 好.	1	pleasantries
The child and I are hungry.	child and I RI food-want.	Nino kum eko ri komivori.	子 并 己 ⊢ 食求.	1	food;family;feelings
The child is small.	child RI small.	Nino ri piko.	子 ⊢ 小.	1	family
You are happy.	you RI happy.	Tu ri konten.	尔 ⊢ 楽.	1	feelings
I am sorry.	I RI sorry.	Eko ri perton.	己 ⊢ 悔.	1	pleasantries;feelings
You are right.	you RI true.	Tu ri ves.	尔 ⊢ 真.	1	
We are ready.	I-group RI before-finish.	Ekomen ri yervin.	己众 ⊢ 前閉.	1	
This is tea.	this RI plant-water.	Tis ri arpoaku.	此 ⊢ 木水.	1	food
The water is good.	water RI good.	Aku ri pona.	水 ⊢ 好.	1	food
The food is fresh.	food RI new.	Komi ri nova.	食 ⊢ 初.	1	food
The fruit is small.	fruit RI small.	Pomo ri piko.	果 ⊢ 小.	1	food
The sun is big.	sun RI big.	Yan ri meka.	日 ⊢ 大.	1	
The vehicle is new.	vehicle RI new.	Karo ri nova.	车 ⊢ 初.	1	travel
It's late.	hour RI after.	Ora ri tar.	刻 ⊢ 后.	1	time
He/she is a child.	this-person RI child.	Tisomo ri nino.	此人 ⊢ 子.	1	family
The story is true.	say-thing RI true.	Tikakosa ri ves.	言物 ⊢ 真.	1	
I'm going.	I RI go.	Eko ri ire.	己 ⊢ 行.	1	
You're talking.	you RI say.	Tu ri tika.	尔 ⊢ 言.	1	
He/she is eating.	this-person RI food.	Tisomo ri komi.	此人 ⊢ 食.	1	food
I'm driving.	I RI vehicle-go.	Eko ri karoire.	己 ⊢ 车行.	1	travel
We're leaving.	I-group RI out-go.	Ekomen ri eksire.	己众 ⊢ 外行.	1	travel
I'm finished.	I RI finish.	Eko ri vin.	己 ⊢ 閉.	1	
Please speak.	please say.	Pam tika.	乞 言.	1	
Please eat.	please food.	Pam komi.	乞 食.	1	food
Please drive.	please vehicle-go.	Pam karoire.	乞 车行.	1	travel
Please leave.	please out-go.	Pam eksire.	乞 外行.	1	
Hello!	new-meet!	Novasarve!	初会!	1	pleasantries
I don't think we've met.	I RI not think A I-group RI meet finish.	Eko ri non pensa a ekomen ri sarve vin.	己 ⊢ 不 思 ⇒ 己众 ⊢ 会 閉.	4	meeting
I'm Alice.	I RI Alice.	Eko ri Aras.	己 ⊢ Aras.	1	meeting;names
Hi Alice.	happy-meet, Alice.	Kontensarve, Aras.	楽会, Aras.	1	meeting;names
I'm Bob.	I RI Bob.	Eko ri Popu.	己 ⊢ Popu.	1	meeting;names
Nice to meet you.	I RI happy meet A you.	Eko ri konten sarve a tu.	己 ⊢ 楽 会 ⇒ 尔.	1	meeting;pleasantries
How do you know Carla?	you RI know A Carla in what-manner?	Tu ri sape a Karra in kermoto?	尔 ⊢ 知 ⇒ Karra 内 何方?	3	meeting;names
We work together.	I-group RI join work.	Ekomen ri yunta opus.	己众 ⊢ 合 力.	2	meeting;smalltalk
And you?	and you, what?	Kum tu, ker?	并 尔, 何?	1	pleasantries
She's my sister.	this-person RI me same-parent-woman.	Tisomo ri eko samparivema.	此人 ⊢ 己 同亲女.	3	family
Really?	true, what?	Ves, ker?	真, 何?	1	smalltalk
You don't look alike!	two you RI not same-see!	Pits tu ri non samvite!	2 尔 ⊢ 不 同見!	3	family;smalltalk
Everybody says that.	every-person RI say A this.	Panomo ri tika a tis.	全人 ⊢ 言 ⇒ 此.	3	smalltalk
She looks like our father, and I look like our mother.	this-person RI same-see A I-group man-parent, but I RI same-see A I-group woman-parent.	Tisomo ri samvite a ekomen viropari, sets eko ri samvite a ekomen vemapari.	此人 ⊢ 同見 ⇒ 己众 男亲, 但 己 ⊢ 同見 ⇒ 己众 女亲.	3	family
That explains it.	this RI reason.	Tis ri rason.	此 ⊢ 故.	4	smalltalk
Do you live here in the city?	you RI life in this city, what?	Tu ri viva in tis sitas, ker?	尔 ⊢ 生 内 此 市, 何?	5	meeting;smalltalk
No, I live about two hours north. I came just for the party.	not. I RI life in two hour interval to up. I RI come only for play-group.	Non. Eko ri viva in pits ora turan ver sur. Eko ri veni son por yumen.	不. 己 ⊢ 生 内 2 刻 間 向 上. 己 ⊢ 来 只 為 玩众.	5	smalltalk;travel
That's a long way.	this RI long road.	Tis ri ronka moto.	此 ⊢ 长 方.	3	travel
Are you staying the night?	you RI sleep in this city, what?	Tu ri tormi in tis sitas, ker?	尔 ⊢ 床 内 此 市, 何?	4	lodging
Yes, at Carla's place.	yes, in Carla home.	Si, in Karra kase.	是, 内 Karra 户.	3	lodging;names
I'll drive back tomorrow.	sun-after, I RI vehicle-go back.	Yantar, eko ri karoire rets.	日后, 己 ⊢ 车行 反.	4	travel;dates
Morning.	good up-sun.	Pona suryan.	好 上日.	2	pleasantries
How was your weekend?	you seven-sun-finish RI what-manner?	Tu senseyanvin ri kermoto?	尔 7日閉 ⊢ 何方?	2	smalltalk;dates
Too short.	up-degree small.	Surmesur piko.	上寸 小.	3	smalltalk
Good, actually.	good, in-true.	Pona, inves.	好, 内真.	1	smalltalk
I finally fixed my bicycle.	in-finish, I RI heal A me leg-vehicle.	Invin, eko ri sana a eko kampakaro.	内閉, 己 ⊢ 医 ⇒ 己 足车.	4	smalltalk
The one that's been broken since spring?	this RI break finish in many month interval, not?	Tis ri rompe vin in mur mese turan, non?	此 ⊢ 切 閉 内 多 月 間, 不?	5	seasons
Yes, that's the one.	yes, this.	Si, tis.	是, 此.	1	smalltalk
I rode it twenty kilometers on Sunday.	in sun-weekday, I RI vehicle-put A this in 20 thousand-meter.	In yanyom, eko ri karoseta a tis in 20 kirumitar.	内 日曜, 己 ⊢ 车坐 ⇒ 此 内 20 千mitar.	4	dates;numbers
Nice.	good.	Pona.	好.	1	smalltalk
I did nothing.	I RI make A no.	Eko ri vake a nem.	己 ⊢ 作 ⇒ 无.	2	smalltalk
I slept, I ate, I watched three movies.	I RI sleep, food, and see A 3 picture.	Eko ri tormi, komi, kum vite a 3 pitur.	己 ⊢ 床, 食, 并 見 ⇒ 3 画.	4	smalltalk
That sounds better than working.	this RI more good than work.	Tis ri mas pona vons opus.	此 ⊢ 更 好 从 力.	2	smalltalk
It was.	true.	Ves.	真.	1	smalltalk
Is the boss in today?	this-sun, work-head RI in work-room, what?	Tisyan, opustesta ri in opuskamar, ker?	此日, 力头 ⊢ 内 力室, 何?	4	smalltalk
She's traveling until Thursday.	this-person RI vehicle-go straight-to plant-weekday.	Tisomo ri karoire retover arpoyom.	此人 ⊢ 车行 直向 木曜.	4	dates;travel
Then I think this week will be easy.	but, I RI think A this seven-sun RI not-hard.	Sets, eko ri pensa a tis senseyan ri nonsorin.	但, 己 ⊢ 思 ⇒ 此 7日 ⊢ 不硬.	4	dates
Good morning!	good up-sun!	Pona suryan!	好 上日!	2	pleasantries
What would you like?	you RI want A what?	Tu ri vori a ker?	尔 ⊢ 求 ⇒ 何?	1	money
How much are the bananas?	long-yellow-fruit RI what money?	Ronkayoropomo ri ker moni?	长黄果 ⊢ 何 贝?	3	money;food;numbers
Twenty each, or a hundred for six.	20 money for one, or 100 money for 6.	20 moni por wun, sive 100 moni por 6.	20 贝 為 1, 或 100 贝 為 6.	5	money;numbers
I'll take six.	I RI get A 6.	Eko ri toma a 6.	己 ⊢ 取 ⇒ 6.	2	money;numbers
Are they sweet?	this RI sweet, what?	Tis ri tuke, ker?	此 ⊢ 甘, 何?	3	food
Very sweet.	big sweet.	Meka tuke.	大 甘.	3	food
Try one.	please taste A one.	Pam sapor a wun.	乞 味 ⇒ 1.	4	food
And these red ones — what are they?	and this red thing RI what?	Kum tis rus kosa ri ker?	并 此 赤 物 ⊢ 何?	3	colors;food
Apples. From the mountains. They're not sweet; they're a little sour.	round-fruit, from up-earth. this RI not sweet; this RI small not-sweet.	Rotunpomo, vons surtera. Tis ri non tuke; tis ri piko nontuke.	丸果, 从 上土. 此 ⊢ 不 甘; 此 ⊢ 小 不甘.	4	food
I like sour.	I RI like A not-sweet.	Eko ri kusta a nontuke.	己 ⊢ 愛 ⇒ 不甘.	3	food;feelings
Give me four.	please give A 4.	Pam tonar a 4.	乞 与 ⇒ 4.	4	money;numbers
Six bananas and four apples — one hundred sixty.	6 long-yellow-fruit and 4 round-fruit: 160 money.	6 ronkayoropomo kum 4 rotunpomo: 160 moni.	6 长黄果 并 4 丸果: 160 贝.	4	money;numbers;food
Here's two hundred.	this RI 200.	Tis ri 200.	此 ⊢ 200.	3	money;numbers
And forty back.	and 40 back-money.	Kum 40 retsemoni.	并 40 反贝.	4	money;numbers
Thank you!	thank!	Mersi!	恩!	2	pleasantries
Good evening.	good down-sun.	Pona tunyan.	好 下日.	5	pleasantries
Are you two ready to order?	two you RI before-finish, what?	Pits tu ri yervin, ker?	2 尔 ⊢ 前閉, 何?	1	food
Almost.	near.	Nir.	近.	2	food
What's good tonight?	this-no-sun, what food RI good?	Tisnemyan, ker komi ri pona?	此无日, 何 食 ⊢ 好?	2	food
The fish is fresh.	water-animal RI new.	Akupeste ri nova.	水匹 ⊢ 初.	2	food
The soup is also very good.	and water-food RI big good.	Kum akukomi ri meka pona.	并 水食 ⊢ 大 好.	1	food
I don't eat fish.	I RI not food A water-animal.	Eko ri non komi a akupeste.	己 ⊢ 不 食 ⇒ 水匹.	2	food
Do you have anything without meat?	you RI have A not meat food, what?	Tu ri tene a non karne komi, ker?	尔 ⊢ 有 ⇒ 不 肉 食, 何?	4	food
Yes — we have a rice dish with vegetables and eggs.	yes. I-group RI have A white-grain food and green-food and bird-child.	Si. Ekomen ri tene a ankariso komi kum vertekomi kum avisnino.	是. 己众 ⊢ 有 ⇒ 白米 食 并 緑食 并 鳥子.	5	food
I'll have that.	I RI want A this.	Eko ri vori a tis.	己 ⊢ 求 ⇒ 此.	1	food
And I'll have the fish, please.	and I RI want A water-animal, please.	Kum eko ri vori a akupeste, pam.	并 己 ⊢ 求 ⇒ 水匹, 乞.	2	food
Is it spicy?	this RI hot-taste, what?	Tis ri wosapor, ker?	此 ⊢ 火味, 何?	4	food
A little.	small.	Piko.	小.	1	food
I can ask them to make it not spicy.	I RI can want-say to food-make-person A this RI become not hot-taste.	Eko ri kan voritika ver komivakeomo a tis ri tiven non wosapor.	己 ⊢ 能 求言 向 食作人 ⇒ 此 ⊢ 成 不 火味.	4	food
No, a little is fine.	not, small RI good.	Non, piko ri pona.	不, 小 ⊢ 好.	1	food
And two glasses of water.	and 2 water-box, please.	Kum 2 akuvaso, pam.	并 2 水皿, 乞.	4	food
Cold or warm?	cold or hot, what?	Rikus sive wo, ker?	冷 或 火, 何?	5	food
Cold, please.	cold, please.	Rikus, pam.	冷, 乞.	4	food
Very good.	big good.	Meka pona.	大 好.	1	food
It will be about fifteen minutes.	if 15 part interval.	Pos 15 parte turan.	可 15 分 間.	4	time;numbers
Excuse me, do you speak English?	sorry. you RI say A English, what?	Perton. Tu ri tika a Inkuris, ker?	悔. 尔 ⊢ 言 ⇒ Inkuris, 何?	1	travel;pleasantries
Slowly, please.	please not-fast say.	Pam nonveros tika.	乞 不早 言.	2	travel
Where is the train station?	line-vehicle-place RI what-place?	Rinekaroroko ri kerroko?	糸车所 ⊢ 何所?	4	travel
Go straight to that big tree, then turn left.	please straight go to not-this big plant, after please bend to left.	Pam reto ire ver nontis meka arpo, tar pam kurva ver sini.	乞 直 行 向 不此 大 木, 后 乞 弓 向 左.	5	travel
Walk five minutes.	please 5 part interval leg-go.	Pam 5 parte turan kampaire.	乞 5 分 間 足行.	4	travel;time
You will see it.	you RI see A this.	Tu ri vite a tis.	尔 ⊢ 見 ⇒ 此.	2	travel
Left at the tree.	left in plant.	Sini in arpo.	左 内 木.	5	travel
Thank you.	thank.	Mersi.	恩.	2	pleasantries
Is there a bus too?	RI and many-person-vehicle in this road, what?	Ri kum muromokaro in tis moto, ker?	⊢ 并 多人车 内 此 方, 何?	3	travel
Yes, but walking is faster.	yes, but leg-go RI more fast.	Si, sets kampaire ri mas veros.	是, 但 足行 ⊢ 更 早.	4	travel
One more question — do you know when the train to the airport leaves?	one more what-say: metal-line-vehicle to air-vehicle-place RI out-go in what-hour?	Wun mas kertika: metarrinekaro ver ventokaroroko ri eksire in kerora?	1 更 何言: 金糸车 向 风车所 ⊢ 外行 内 何刻?	4	travel;time
I don't know.	I RI not know.	Eko ri non sape.	己 ⊢ 不 知.	3	pleasantries
Ask inside the station.	please want-say in vehicle-place.	Pam voritika in karoroko.	乞 求言 内 车所.	1	travel
Thank you very much!	big thank!	Meka mersi!	大 恩!	2	pleasantries
Good luck!	good-if!	Ponapos!	好可!	4	pleasantries
Practice, and you'll get it.	try-learn, and you RI understand.	Tentarimpar, kum tu ri vite.	試学, 并 尔 ⊢ 見.	4	pleasantries
Little by little.	small after small.	Piko tar piko.	小 后 小.	1	pleasantries
You're close.	you RI near.	Tu ri nir.	尔 ⊢ 近.	2	pleasantries
You can do it.	you RI can do A this.	Tu ri kan vake a tis.	尔 ⊢ 能 作 ⇒ 此.	2	pleasantries
You work well.	you RI good work.	Tu ri pona opus.	尔 ⊢ 好 力.	2	pleasantries
Please don't stop trying.	please not stop try.	Pam non sista tentar.	乞 不 止 試.	4	pleasantries
Please try again.	please again try.	Pam repe tentar.	乞 又 試.	3	pleasantries
Please don't worry.	please not fear.	Pam non timo.	乞 不 危.	4	pleasantries
It becomes easier.	this RI become more not-hard.	Tis ri tiven mas nonsorin.	此 ⊢ 成 更 不硬.	4	pleasantries
I'm not tired.	I RI not tired.	Eko ri non kansa.	己 ⊢ 不 疲.	5	health;family;feelings
It's late.	time RI after.	Tempo ri tar.	时 ⊢ 后.	1	time
You have school tomorrow.	sun-after, you RI go to learn-place.	Yantar, tu ri ire ver imparroko.	日后, 尔 ⊢ 行 向 学所.	4	family;dates
Can I have some water?	I RI can get A water, what?	Eko ri kan toma a aku, ker?	己 ⊢ 能 取 ⇒ 水, 何?	2	food;family
You had water five minutes ago.	5 part before, you RI drink A water.	5 parte yer, tu ri pipe a aku.	5 分 前, 尔 ⊢ 飲 ⇒ 水.	2	time;family
I'm thirsty again.	I RI more drink-want.	Eko ri mas pipevori.	己 ⊢ 更 飲求.	2	food;health;feelings
All right, a little.	good, small.	Pona, piko.	好, 小.	1	family
Then sleep.	after, please sleep.	Tar, pam tormi.	后, 乞 床.	4	family;health
Will you tell me a story?	you RI say A say-thing to me, what?	Tu ri tika a tikakosa ver eko, ker?	尔 ⊢ 言 ⇒ 言物 向 己, 何?	1	family
A short one.	small say-thing.	Piko tikakosa.	小 言物.	1	family
About the big fish!	about big water-animal!	Topi meka akupeste!	件 大 水匹!	2	family
I told you that one last night.	1 no-sun before, I RI say A this to you.	1 nemyan yer, eko ri tika a tis ver tu.	1 无日 前, 己 ⊢ 言 ⇒ 此 向 尔.	2	family;dates
I like that one!	I RI like A this!	Eko ri kusta a tis!	己 ⊢ 愛 ⇒ 此!	2	family;feelings
Okay, okay.	good, good.	Pona, pona.	好, 好.	1	family
Lie down.	please sleep.	Pam tormi.	乞 床.	4	family
Close your eyes...	please close A you see-part...	Pam vin a tu viteparte...	乞 閉 ⇒ 尔 見分...	2	family
Are you free on Saturday?	in earth-weekday, you RI not work, what?	In terayom, tu ri non opus, ker?	内 土曜, 尔 ⊢ 不 力, 何?	3	dates;smalltalk
I think so.	I RI think A yes.	Eko ri pensa a si.	己 ⊢ 思 ⇒ 是.	4	smalltalk
Why?	what-reason?	Kerrason?	何故?	4	smalltalk
My brother is playing music at a small place near the river.	me same-parent-man RI make A music in small place near long-water.	Eko sampariviro ri vake a musi in piko roko nir ronkaaku.	己 同亲男 ⊢ 作 ⇒ 曲 内 小 所 近 长水.	3	family;smalltalk
Do you want to come?	you RI want come, what?	Tu ri vori veni, ker?	尔 ⊢ 求 来, 何?	2	smalltalk
What kind of music?	what music?	Ker musi?	何 曲?	2	smalltalk
Old songs, quiet.	old music, small-sound.	Vetus musi, pikooti.	古 曲, 小耳.	5	smalltalk
It's not loud.	this RI not big-sound.	Tis ri non mekaoti.	此 ⊢ 不 大耳.	4	smalltalk
Good, because last time my ears hurt for two days.	good, reason in before time me hear-part RI sick-feel in 2 sun interval.	Pona, rason in yer tempo eko otiparte ri marasenti in 2 yan turan.	好, 故 内 前 时 己 耳分 ⊢ 病心 内 2 日 間.	4	health;dates
No, this is different.	not, this RI other.	Non, tis ri ar.	不, 此 ⊢ 別.	5	smalltalk
What time does the music start?	music RI begin in what-hour?	Musi ri apa in kerora?	曲 ⊢ 开 内 何刻?	4	time
Eight.	8 hour.	8 ora.	8 刻.	2	time;numbers
But come at seven and we can eat first.	but please come in 7 hour, and I-group RI can before food.	Sets pam veni in 7 ora, kum ekomen ri kan yer komi.	但 乞 来 内 7 刻, 并 己众 ⊢ 能 前 食.	2	time;food
Should I bring anything?	I RI must give A what, what?	Eko ri neses tonar a ker, ker?	己 ⊢ 要 与 ⇒ 何, 何?	4	smalltalk
Just money for food.	only money for food.	Son moni por komi.	只 贝 為 食.	3	money;food
I'll meet you at the door.	I RI meet A you in door.	Eko ri sarve a tu in porta.	己 ⊢ 会 ⇒ 尔 内 門.	4	meeting
Good afternoon.	good sun.	Pona yan.	好 日.	1	pleasantries
Do you have a reservation?	you RI have A before-agree, what?	Tu ri tene a yerakor, ker?	尔 ⊢ 有 ⇒ 前約, 何?	5	lodging
Yes, under Lena.	yes, in name Lena.	Si, in nomen Rena.	是, 内 名 Rena.	2	lodging;names
Two nights.	2 no-sun.	2 nemyan.	2 无日.	2	lodging;numbers
Yes, I see it.	yes, I RI see A this.	Si, eko ri vite a tis.	是, 己 ⊢ 見 ⇒ 此.	2	lodging
One room, one bed.	1 room, 1 sleep.	1 kamar, 1 tormi.	1 室, 1 床.	4	lodging;numbers
Is that right?	this RI true, yes?	Tis ri ves, si?	此 ⊢ 真, 是?	1	lodging
Yes.	yes.	Si.	是.	1	pleasantries
Is breakfast included?	up-sun-food RI in money, what?	Suryankomi ri in moni, ker?	上日食 ⊢ 内 贝, 何?	3	lodging;food
Yes, from six to nine, in that room there.	yes, from 6 hour to 9 hour, in not-this room.	Si, vons 6 ora ver 9 ora, in nontis kamar.	是, 从 6 刻 向 9 刻, 内 不此 室.	3	lodging;time
Is there hot water in the morning?	in up-sun, hot water RI in room, what?	In suryan, wo aku ri in kamar, ker?	内 上日, 火 水 ⊢ 内 室, 何?	3	lodging;time
Always.	every-time.	Pantempo.	全时.	3	lodging
Here is your key.	this RI you key.	Tis ri tu yave.	此 ⊢ 尔 錠.	5	lodging
Room twelve, up the stairs, on the right.	room 12, up in up-road, in right.	Kamar 12, sur in surmoto, in rem.	室 12, 上 内 上方, 内 右.	5	lodging;numbers
One thing — the light in the hall is broken.	one thing: electric-sun in go-room RI break finish.	Wun kosa: vortoyan in irekamar ri rompe vin.	1 物: 電日 内 行室 ⊢ 切 閉.	5	lodging
I know, I'm sorry.	I RI know; I RI sorry.	Eko ri sape; eko ri perton.	己 ⊢ 知; 己 ⊢ 悔.	3	pleasantries;feelings
A man will come tomorrow to fix it.	sun-after, one person RI come for heal A this.	Yantar, wun omo ri veni por sana a tis.	日后, 1 人 ⊢ 来 為 医 ⇒ 此.	4	lodging;dates
No problem.	no bad-thing.	Nem marumkosa.	无 悪物.	2	pleasantries
It's been so long.	big long interval finish!	Meka ronka turan vin!	大 长 間 閉!	3	meeting;smalltalk
How are you?	you RI good, what?	Tu ri pona, ker?	尔 ⊢ 好, 何?	1	pleasantries
Busy, but good.	many-work, but good.	Muropus, sets pona.	多力, 但 好.	3	smalltalk;feelings
What is your new job?	you new work RI what?	Tu nova opus ri ker?	尔 初 力 ⊢ 何?	2	smalltalk
I'm a teacher.	I RI learn-give-person.	Eko ri impartonaromo.	己 ⊢ 学与人.	4	smalltalk
How's the new job?	you new work RI what-manner?	Tu nova opus ri kermoto?	尔 初 力 ⊢ 何方?	2	smalltalk
Hard at first, but now I like it.	in before, hard; but this-time I RI like A this.	In yer, sorin; sets tistempo eko ri kusta a tis.	内 前, 硬; 但 此时 己 ⊢ 愛 ⇒ 此.	4	smalltalk;feelings
The people are kind.	person RI good-feel.	Omo ri ponasenti.	人 ⊢ 好心.	3	smalltalk;feelings
That's the important thing.	this RI heavy-necessary thing.	Tis ri pesaneses kosa.	此 ⊢ 重要 物.	4	smalltalk
How are your children?	you child RI what-manner?	Tu nino ri kermoto?	尔 子 ⊢ 何方?	2	family;smalltalk
Big!	big!	Meka!	大!	1	family
The little one started school this year.	this year, small child RI begin go to learn-place.	Tis anyo, piko nino ri apa ire ver imparroko.	此 年, 小 子 ⊢ 开 行 向 学所.	4	family;dates
No!	not!	Non!	不!	1	smalltalk
Already?	big before, what?	Meka yer, ker?	大 前, 何?	1	smalltalk
Time goes fast.	time RI fast go.	Tempo ri veros ire.	时 ⊢ 早 行.	2	time;smalltalk
Listen — I'll be in your city next month.	please hear: 1 month after, I RI in you city.	Pam oti: 1 mese tar, eko ri in tu sitas.	乞 耳: 1 月 后, 己 ⊢ 内 尔 市.	4	dates;travel
Can we meet?	I-group RI can meet, what?	Ekomen ri kan sarve, ker?	己众 ⊢ 能 会, 何?	2	meeting
Can we go to the park sometime?	I-group RI can go to green-place in after time, what?	Ekomen ri kan ire ver verteroko in tar tempo, ker?	己众 ⊢ 能 行 向 緑所 内 后 时, 何?	3	smalltalk
Of course!	true!	Ves!	真!	1	pleasantries
Stay with us.	please remain and I-group.	Pam sista kum ekomen.	乞 止 并 己众.	4	lodging
We have room.	I-group RI have A room.	Ekomen ri tene a kamar.	己众 ⊢ 有 ⇒ 室.	3	lodging
Are you sure?	you RI true, what?	Tu ri ves, ker?	尔 ⊢ 真, 何?	1	smalltalk
I don't want to make trouble.	I RI not want make A bad-thing.	Eko ri non vori vake a marumkosa.	己 ⊢ 不 求 作 ⇒ 悪物.	2	pleasantries;feelings
The children will be happy.	child RI happy.	Nino ri konten.	子 ⊢ 楽.	1	family;feelings
Do you have a minute?	you RI have A one part interval, what?	Tu ri tene a wun parte turan, ker?	尔 ⊢ 有 ⇒ 1 分 間, 何?	2	smalltalk
What's wrong?	what bad-thing?	Ker marumkosa?	何 悪物?	2	smalltalk
The report is not finished, and they want it today.	write-page RI not finish, and work-head RI want A this in this-sun.	Kitakarta ri non vin, kum opustesta ri vori a tis in tisyan.	写片 ⊢ 不 閉, 并 力头 ⊢ 求 ⇒ 此 内 此日.	4	smalltalk;dates
How much is left?	what amount RI remain?	Ker mesur ri sista?	何 寸 ⊢ 止?	4	smalltalk
The numbers are all there.	all amount-say RI in write-page.	Pan mesurtika ri in kitakarta.	全 寸言 ⊢ 内 写片.	3	numbers
But the last part isn't written.	but finish part RI not write finish.	Sets vin parte ri non kita vin.	但 閉 分 ⊢ 不 写 閉.	2	smalltalk
Send me what you have and I'll write that part.	please give A you RI have RI-TE thing to me, and I RI write A not-this part.	Pam tonar a tu ri tene rite kosa ver eko, kum eko ri kita a nontis parte.	乞 与 ⇒ 尔 ⊢ 有 ⊢> 物 向 己, 并 己 ⊢ 写 ⇒ 不此 分.	4	smalltalk
Thank you.	big thank.	Meka mersi.	大 恩.	2	pleasantries
